Date,2Y,3Y,5Y,7Y,10Y,20Y
1993-10-01,3.84,4.18,4.72,5.03,5.34,6.12
1993-10-08,3.78,4.09,4.61,4.96,5.26,6.02
1993-10-15,3.81,4.06,4.57,4.9,5.19,5.91
1993-10-22,3.91,4.23,4.76,5.15,5.42,6.13
1993-10-29,3.99,4.3,4.83,5.19,5.43,6.12
1993-11-05,4.2,4.53,5.11,5.5,5.75,6.4
1993-11-12,4.11,4.45,5.02,5.39,5.66,6.33
1993-11-19,4.22,4.58,5.16,5.54,5.84,6.5
1993-11-26,4.16,4.52,5.08,5.49,5.78,6.43
1993-12-03,4.24,4.59,5.16,5.52,5.8,6.39
1993-12-10,4.21,4.53,5.13,5.45,5.73,6.34
1993-12-17,4.2,4.54,5.17,5.52,5.81,6.44
1993-12-24,4.18,4.49,5.1,5.42,5.72,6.36
1993-12-31,4.25,4.58,5.21,5.53,5.83,6.48
1994-01-07,4.09,4.43,5.03,5.39,5.7,6.35
1994-01-14,4.17,4.51,5.12,5.46,5.78,6.41
1994-01-21,4.09,4.44,5.05,5.39,5.73,6.36
1994-01-28,4.08,4.4,4.99,5.3,5.68,6.27
1994-02-04,4.42,4.75,5.32,5.62,5.94,6.49
1994-02-11,4.44,4.8,5.34,5.66,5.88,6.5
1994-02-18,4.57,4.94,5.52,5.87,6.09,6.7
1994-02-25,4.72,5.08,5.65,6.0,6.21,6.8
1994-03-04,4.88,5.29,5.82,6.16,6.38,6.92
1994-03-11,4.95,5.34,5.89,6.25,6.46,6.99
1994-03-18,5.03,5.42,5.97,6.3,6.49,6.99
1994-03-25,5.1,5.52,6.08,6.42,6.61,7.1
1994-04-01,5.21,5.66,6.23,6.59,6.77,7.23
1994-04-08,5.43,5.91,6.46,6.79,6.94,7.4
1994-04-15,5.51,5.95,6.5,6.79,6.97,7.42
1994-04-22,5.62,6.04,6.53,6.73,6.93,7.34
1994-04-29,5.73,6.16,6.64,6.88,7.06,7.44
1994-05-06,6.12,6.5,6.95,7.19,7.35,7.67
1994-05-13,6.05,6.43,6.89,7.14,7.29,7.63
1994-05-20,5.8,6.14,6.59,6.82,7.02,7.44
1994-05-27,5.97,6.32,6.73,6.92,7.12,7.55
1994-06-03,5.84,6.19,6.59,6.78,6.98,7.39
1994-06-10,5.85,6.17,6.6,6.82,7.03,7.44
1994-06-17,5.88,6.24,6.71,6.93,7.14,7.58
1994-06-24,6.06,6.38,6.81,7.05,7.22,7.63
1994-07-01,6.19,6.53,6.95,7.19,7.34,7.74
1994-07-08,6.25,6.59,7.04,7.27,7.42,7.81
1994-07-15,6.04,6.41,6.84,7.06,7.25,7.64
1994-07-22,6.15,6.49,6.92,7.1,7.29,7.65
1994-07-29,5.99,6.33,6.73,6.92,7.12,7.46
1994-08-05,6.18,6.55,6.93,7.11,7.28,7.62
1994-08-12,6.22,6.57,6.94,7.12,7.27,7.66
1994-08-19,6.23,6.55,6.92,7.1,7.27,7.67
1994-08-26,6.21,6.48,6.87,7.07,7.24,7.65
1994-09-02,6.17,6.45,6.82,7.01,7.21,7.64
1994-09-09,6.35,6.66,7.06,7.26,7.44,7.88
1994-09-16,6.42,6.72,7.13,7.34,7.52,7.95
1994-09-23,6.52,6.83,7.2,7.4,7.57,7.95
1994-09-30,6.62,6.92,7.28,7.46,7.62,7.98
1994-10-07,6.65,6.97,7.34,7.54,7.7,8.07
1994-10-14,6.57,6.91,7.26,7.45,7.61,7.98
1994-10-21,6.8,7.11,7.46,7.63,7.81,8.12
1994-10-28,6.82,7.1,7.48,7.65,7.82,8.09
1994-11-04,7.05,7.37,7.72,7.88,8.04,8.3
1994-11-11,7.06,7.4,7.69,7.84,7.98,8.27
1994-11-18,7.23,7.52,7.79,7.91,8.01,8.26
1994-11-25,7.19,7.44,7.65,7.71,7.8,8.04
1994-12-02,7.44,7.59,7.71,7.77,7.81,8.01
1994-12-09,7.53,7.67,7.74,7.77,7.79,7.97
1994-12-16,7.59,7.71,7.76,7.8,7.81,7.98
1994-12-23,7.74,7.82,7.86,7.86,7.85,7.96
1994-12-30,7.69,7.8,7.83,7.84,7.84,8.02
1995-01-06,7.64,7.81,7.87,7.89,7.87,8.0
1995-01-13,7.39,7.55,7.64,7.71,7.69,7.93
1995-01-20,7.5,7.7,7.8,7.84,7.82,8.02
1995-01-27,7.29,7.46,7.6,7.63,7.66,7.83
1995-02-03,7.14,7.3,7.4,7.44,7.49,7.7
1995-02-10,7.33,7.47,7.55,7.61,7.62,7.81
1995-02-17,7.07,7.2,7.33,7.41,7.43,7.71
1995-02-24,6.89,7.0,7.16,7.3,7.33,7.66
1995-03-03,6.89,7.03,7.19,7.29,7.36,7.68
1995-03-10,6.83,6.94,7.07,7.15,7.23,7.57
1995-03-17,6.69,6.81,6.97,7.06,7.12,7.48
1995-03-24,6.64,6.75,6.93,7.04,7.09,7.5
1995-03-31,6.8,6.92,7.08,7.17,7.2,7.54
1995-04-07,6.65,6.76,6.93,7.03,7.11,7.5
1995-04-14,6.51,6.64,6.82,6.91,7.03,7.42
1995-04-21,6.44,6.55,6.77,6.87,7.01,7.42
1995-04-28,6.6,6.72,6.88,6.95,7.07,7.42
1995-05-05,6.16,6.27,6.42,6.55,6.69,7.07
1995-05-12,6.2,6.31,6.46,6.55,6.67,7.05
1995-05-19,6.19,6.28,6.43,6.5,6.61,6.96
1995-05-26,5.97,6.05,6.18,6.28,6.4,6.8
1995-06-02,5.54,5.64,5.8,5.92,6.1,6.55
1995-06-09,6.01,6.08,6.21,6.31,6.4,6.76
1995-06-16,5.77,5.83,5.96,6.09,6.21,6.64
1995-06-23,5.64,5.69,5.83,5.94,6.06,6.51
1995-06-30,5.79,5.88,5.98,6.12,6.21,6.64
1995-07-07,5.54,5.61,5.74,5.94,6.04,6.52
1995-07-14,5.7,5.78,5.89,6.07,6.15,6.61
1995-07-21,5.95,6.11,6.26,6.4,6.53,6.98
1995-07-28,5.92,6.09,6.22,6.4,6.49,6.93
1995-08-04,5.91,6.06,6.2,6.39,6.5,6.92
1995-08-11,6.05,6.19,6.37,6.54,6.59,7.06
1995-08-18,6.13,6.24,6.36,6.51,6.57,7.0
1995-08-25,5.9,6.01,6.13,6.3,6.38,6.8
1995-09-01,5.78,5.89,6.0,6.14,6.22,6.67
1995-09-08,5.85,5.95,6.04,6.17,6.24,6.66
1995-09-15,5.71,5.8,5.91,6.05,6.11,6.58
1995-09-22,5.85,5.93,6.06,6.19,6.25,6.7
1995-09-29,5.83,5.91,6.01,6.11,6.17,6.6
1995-10-06,5.73,5.81,5.89,6.0,6.06,6.51
1995-10-13,5.67,5.72,5.8,5.88,5.97,6.37
1995-10-20,5.72,5.79,5.9,5.99,6.04,6.42
1995-10-27,5.64,5.73,5.83,5.95,6.05,6.4
1995-11-03,5.49,5.58,5.7,5.82,5.94,6.33
1995-11-10,5.52,5.64,5.76,5.89,6.0,6.39
1995-11-17,5.46,5.54,5.66,5.81,5.92,6.33
1995-11-24,5.49,5.56,5.7,5.84,5.91,6.36
1995-12-01,5.32,5.37,5.49,5.63,5.71,6.16
1995-12-08,5.39,5.45,5.56,5.67,5.73,6.12
1995-12-15,5.36,5.41,5.55,5.66,5.75,6.15
1995-12-22,5.28,5.37,5.5,5.62,5.71,6.12
1995-12-29,5.18,5.25,5.38,5.49,5.58,6.01
1996-01-05,5.2,5.29,5.42,5.59,5.69,6.11
1996-01-12,5.17,5.26,5.4,5.64,5.75,6.22
1996-01-19,5.03,5.1,5.27,5.43,5.54,6.02
1996-01-26,5.08,5.18,5.34,5.54,5.65,6.1
1996-02-02,4.9,5.04,5.24,5.49,5.66,6.16
1996-02-09,4.85,4.98,5.25,5.49,5.66,6.17
1996-02-16,4.9,5.01,5.29,5.58,5.76,6.27
1996-02-23,5.13,5.29,5.53,5.82,5.97,6.5
1996-03-01,5.26,5.4,5.6,5.86,5.99,6.48
1996-03-08,5.73,5.88,6.05,6.28,6.41,6.84
1996-03-15,5.87,6.01,6.19,6.4,6.46,6.9
1996-03-22,5.74,5.85,6.05,6.26,6.32,6.8
1996-03-29,5.79,5.91,6.1,6.3,6.34,6.83
1996-04-05,6.09,6.22,6.4,6.57,6.57,7.01
1996-04-12,5.96,6.12,6.31,6.49,6.52,7.0
1996-04-19,5.95,6.1,6.32,6.48,6.53,7.0
1996-04-26,5.92,6.08,6.29,6.47,6.54,6.96
1996-05-03,6.2,6.37,6.61,6.81,6.9,7.29
1996-05-10,6.04,6.23,6.45,6.65,6.75,7.12
1996-05-17,6.04,6.2,6.41,6.58,6.65,7.03
1996-05-24,6.03,6.2,6.42,6.58,6.65,7.01
1996-05-31,6.27,6.44,6.64,6.78,6.85,7.17
1996-06-07,6.4,6.56,6.75,6.87,6.93,7.22
1996-06-14,6.29,6.49,6.72,6.87,6.95,7.26
1996-06-21,6.35,6.52,6.74,6.87,6.96,7.25
1996-06-28,6.11,6.3,6.47,6.61,6.73,7.03
1996-07-05,6.44,6.62,6.82,6.95,7.06,7.31
1996-07-12,6.26,6.45,6.65,6.76,6.85,7.15
1996-07-19,6.18,6.35,6.55,6.67,6.78,7.08
1996-07-26,6.25,6.45,6.62,6.74,6.85,7.12
1996-08-02,5.91,6.09,6.26,6.38,6.51,6.83
1996-08-09,5.93,6.09,6.25,6.37,6.5,6.83
1996-08-16,5.95,6.13,6.31,6.43,6.56,6.9
1996-08-23,6.09,6.27,6.48,6.61,6.72,7.06
1996-08-30,6.34,6.54,6.73,6.86,6.96,7.28
1996-09-06,6.33,6.52,6.72,6.84,6.94,7.27
1996-09-13,6.1,6.29,6.48,6.64,6.74,7.1
1996-09-20,6.26,6.43,6.62,6.75,6.85,7.18
1996-09-27,6.07,6.25,6.43,6.57,6.68,7.03
1996-10-04,5.85,6.0,6.2,6.36,6.48,6.83
1996-10-11,5.92,6.09,6.29,6.46,6.55,6.93
1996-10-18,5.89,6.05,6.25,6.39,6.5,6.88
1996-10-25,5.9,6.07,6.26,6.42,6.54,6.9
1996-11-01,5.79,5.93,6.11,6.26,6.38,6.75
1996-11-08,5.76,5.88,6.04,6.16,6.29,6.63
1996-11-15,5.68,5.79,5.96,6.09,6.19,6.55
1996-11-22,5.69,5.8,5.94,6.05,6.15,6.54
1996-11-29,5.59,5.7,5.84,5.97,6.06,6.45
1996-12-06,5.73,5.84,6.02,6.16,6.26,6.62
1996-12-13,5.77,5.89,6.06,6.22,6.33,6.68
1996-12-20,5.83,5.95,6.12,6.25,6.35,6.69
1996-12-27,5.81,5.93,6.09,6.21,6.3,6.63
1997-01-03,5.95,6.11,6.28,6.42,6.52,6.84
1997-01-10,6.06,6.21,6.4,6.52,6.63,6.94
1997-01-17,6.0,6.14,6.32,6.46,6.56,6.9
1997-01-24,6.07,6.21,6.39,6.53,6.64,6.97
1997-01-31,5.94,6.08,6.26,6.4,6.53,6.86
1997-02-07,5.86,6.0,6.17,6.32,6.43,6.78
1997-02-14,5.79,5.91,6.07,6.18,6.28,6.64
1997-02-21,5.85,5.98,6.16,6.27,6.36,6.74
1997-02-28,6.09,6.23,6.39,6.5,6.56,6.91
1997-03-07,6.1,6.25,6.39,6.52,6.57,6.93
1997-03-14,6.18,6.35,6.53,6.66,6.71,7.07
1997-03-21,6.29,6.46,6.61,6.7,6.74,7.08
1997-03-28,6.45,6.61,6.76,6.88,6.9,7.2
1997-04-04,6.44,6.61,6.78,6.9,6.92,7.25
1997-04-11,6.53,6.69,6.85,6.95,6.98,7.29
1997-04-18,6.42,6.57,6.73,6.81,6.84,7.17
1997-04-25,6.54,6.7,6.83,6.92,6.94,7.25
1997-05-02,6.26,6.4,6.54,6.63,6.68,6.99
1997-05-09,6.24,6.4,6.51,6.62,6.67,6.97
1997-05-16,6.28,6.41,6.55,6.64,6.7,7.0
1997-05-23,6.25,6.41,6.59,6.68,6.74,7.07
1997-05-30,6.22,6.37,6.51,6.61,6.67,6.99
1997-06-06,6.12,6.25,6.39,6.46,6.51,6.85
1997-06-13,6.03,6.18,6.3,6.39,6.43,6.79
1997-06-20,6.02,6.14,6.27,6.37,6.37,6.72
1997-06-27,6.03,6.2,6.35,6.43,6.46,6.82
1997-07-04,5.93,6.07,6.2,6.29,6.31,6.67
1997-07-11,5.89,6.01,6.13,6.22,6.23,6.58
1997-07-18,5.91,6.02,6.16,6.23,6.24,6.58
1997-07-25,5.87,5.97,6.08,6.16,6.18,6.51
1997-08-01,5.89,5.99,6.08,6.17,6.2,6.52
1997-08-08,6.02,6.15,6.23,6.37,6.38,6.74
1997-08-15,5.87,6.0,6.1,6.27,6.27,6.65
1997-08-22,5.98,6.09,6.21,6.36,6.38,6.75
1997-08-29,5.97,6.1,6.22,6.33,6.34,6.69
1997-09-05,5.98,6.09,6.24,6.36,6.37,6.72
1997-09-12,5.93,6.03,6.17,6.28,6.29,6.66
1997-09-19,5.81,5.89,6.01,6.08,6.09,6.44
1997-09-26,5.8,5.89,5.99,6.08,6.08,6.43
1997-10-03,5.72,5.79,5.89,6.02,6.01,6.35
1997-10-10,5.86,5.92,6.03,6.17,6.15,6.49
1997-10-17,5.91,5.98,6.08,6.19,6.17,6.51
1997-10-24,5.79,5.86,5.94,6.05,6.01,6.35
1997-10-31,5.63,5.7,5.72,5.87,5.84,6.21
1997-11-07,5.71,5.77,5.81,5.92,5.9,6.25
1997-11-14,5.7,5.74,5.8,5.9,5.86,6.19
1997-11-21,5.68,5.7,5.77,5.84,5.82,6.13
1997-11-28,5.76,5.8,5.83,5.89,5.86,6.12
1997-12-05,5.8,5.83,5.87,5.94,5.92,6.16
1997-12-12,5.63,5.67,5.71,5.76,5.74,6.03
1997-12-19,5.66,5.67,5.7,5.74,5.72,6.0
1997-12-26,5.69,5.72,5.72,5.75,5.75,5.99
1998-01-02,5.59,5.62,5.63,5.68,5.67,5.94
1998-01-09,5.17,5.2,5.22,5.37,5.4,5.77
1998-01-16,5.35,5.35,5.42,5.53,5.54,5.87
1998-01-23,5.42,5.44,5.53,5.67,5.7,6.04
1998-01-30,5.32,5.35,5.39,5.51,5.53,5.88
1998-02-06,5.38,5.43,5.48,5.61,5.62,5.99
1998-02-13,5.36,5.36,5.44,5.53,5.49,5.92
1998-02-20,5.41,5.41,5.49,5.58,5.54,5.93
1998-02-27,5.55,5.55,5.59,5.67,5.62,5.99
1998-03-06,5.58,5.59,5.65,5.78,5.73,6.09
1998-03-13,5.5,5.49,5.54,5.65,5.58,5.95
1998-03-20,5.52,5.5,5.56,5.64,5.57,5.95
1998-03-27,5.63,5.66,5.67,5.75,5.68,6.03
1998-04-03,5.42,5.42,5.44,5.54,5.47,5.85
1998-04-10,5.5,5.52,5.56,5.64,5.59,5.95
1998-04-17,5.54,5.53,5.57,5.64,5.59,5.95
1998-04-24,5.61,5.62,5.65,5.72,5.67,6.02
1998-05-01,5.59,5.62,5.63,5.72,5.67,6.02
1998-05-08,5.61,5.64,5.65,5.75,5.71,6.05
1998-05-15,5.63,5.64,5.67,5.76,5.68,6.05
1998-05-22,5.63,5.63,5.65,5.72,5.64,5.99
1998-05-29,5.53,5.54,5.56,5.63,5.56,5.9
1998-06-05,5.58,5.59,5.6,5.63,5.58,5.89
1998-06-12,5.43,5.43,5.43,5.48,5.43,5.75
1998-06-19,5.52,5.5,5.52,5.54,5.47,5.78
1998-06-26,5.51,5.53,5.49,5.53,5.46,5.74
1998-07-03,5.44,5.46,5.43,5.47,5.42,5.7
1998-07-10,5.41,5.42,5.4,5.47,5.42,5.73
1998-07-17,5.46,5.48,5.49,5.57,5.51,5.85
1998-07-24,5.48,5.47,5.48,5.52,5.45,5.79
1998-07-31,5.49,5.48,5.52,5.56,5.5,5.81
1998-08-07,5.34,5.33,5.39,5.44,5.4,5.72
1998-08-14,5.34,5.3,5.34,5.42,5.4,5.67
1998-08-21,5.25,5.23,5.24,5.33,5.32,5.62
1998-08-28,4.93,4.89,4.94,5.09,5.09,5.51
1998-09-04,4.91,4.84,4.9,5.01,5.02,5.44
1998-09-11,4.68,4.65,4.65,4.81,4.85,5.37
1998-09-18,4.61,4.56,4.5,4.64,4.7,5.35
1998-09-25,4.43,4.41,4.4,4.53,4.6,5.3
1998-10-02,4.17,4.13,4.08,4.23,4.31,5.05
1998-10-09,4.19,4.39,4.46,4.78,4.77,5.5
1998-10-16,3.86,4.04,4.04,4.41,4.44,5.3
1998-10-23,4.2,4.24,4.28,4.6,4.7,5.47
1998-10-30,4.12,4.24,4.24,4.47,4.64,5.38
1998-11-06,4.59,4.65,4.58,4.92,4.93,5.63
1998-11-13,4.54,4.56,4.53,4.78,4.82,5.46
1998-11-20,4.66,4.62,4.6,4.77,4.82,5.44
1998-11-27,4.62,4.63,4.6,4.8,4.81,5.42
1998-12-04,4.46,4.43,4.38,4.61,4.62,5.34
1998-12-11,4.46,4.42,4.39,4.59,4.61,5.31
1998-12-18,4.45,4.43,4.38,4.58,4.58,5.32
1998-12-25,4.78,4.76,4.74,4.89,4.86,5.55
1999-01-01,4.54,4.55,4.56,4.73,4.65,5.39
1999-01-08,4.71,4.71,4.72,4.92,4.86,5.57
1999-01-15,4.56,4.55,4.54,4.76,4.66,5.43
1999-01-22,4.59,4.58,4.54,4.73,4.64,5.38
1999-01-29,4.58,4.57,4.55,4.72,4.66,5.35
1999-02-05,4.8,4.85,4.88,5.04,4.94,5.61
1999-02-12,4.91,4.94,4.96,5.18,5.06,5.76
1999-02-19,4.95,4.97,4.99,5.19,5.07,5.71
1999-02-26,5.13,5.16,5.21,5.39,5.29,5.85
1999-03-05,5.14,5.21,5.24,5.44,5.34,5.91
1999-03-12,5.0,5.06,5.08,5.31,5.16,5.82
1999-03-19,5.04,5.05,5.07,5.31,5.17,5.82
1999-03-26,4.99,5.05,5.1,5.35,5.21,5.9
1999-04-02,4.96,5.03,5.07,5.31,5.2,5.88
1999-04-09,4.88,4.91,4.96,5.17,5.05,5.73
1999-04-16,5.02,5.08,5.13,5.32,5.23,5.85
1999-04-23,5.04,5.09,5.15,5.34,5.26,5.87
1999-04-30,5.08,5.17,5.24,5.42,5.36,5.94
1999-05-07,5.19,5.27,5.4,5.6,5.54,6.1
1999-05-14,5.3,5.38,5.48,5.71,5.62,6.16
1999-05-21,5.3,5.37,5.46,5.67,5.52,6.08
1999-05-28,5.42,5.51,5.6,5.83,5.64,6.15
1999-06-04,5.56,5.64,5.75,5.97,5.82,6.28
1999-06-11,5.7,5.78,5.92,6.17,6.02,6.47
1999-06-18,5.56,5.63,5.75,5.95,5.84,6.3
1999-06-25,5.73,5.81,5.91,6.18,6.02,6.49
1999-07-02,5.58,5.65,5.7,5.96,5.82,6.3
1999-07-09,5.61,5.68,5.72,5.99,5.84,6.3
1999-07-16,5.5,5.53,5.57,5.83,5.68,6.18
1999-07-23,5.58,5.65,5.72,6.0,5.84,6.32
1999-07-30,5.63,5.7,5.82,6.1,5.92,6.4
1999-08-06,5.69,5.79,5.94,6.24,6.02,6.48
1999-08-13,5.71,5.81,5.88,6.21,5.98,6.45
1999-08-20,5.65,5.72,5.79,6.1,5.88,6.41
1999-08-27,5.65,5.74,5.75,6.05,5.85,6.38
1999-09-03,5.64,5.72,5.78,6.12,5.89,6.45
1999-09-10,5.64,5.75,5.78,6.1,5.89,6.48
1999-09-17,5.63,5.74,5.76,6.06,5.87,6.47
1999-09-24,5.55,5.6,5.65,5.94,5.75,6.36
1999-10-01,5.73,5.83,5.9,6.22,6.0,6.57
1999-10-08,5.8,5.87,5.97,6.27,6.04,6.61
1999-10-15,5.82,5.89,5.99,6.33,6.09,6.66
1999-10-22,5.96,6.02,6.13,6.43,6.21,6.76
1999-10-29,5.79,5.9,5.97,6.19,6.02,6.52
1999-11-05,5.72,5.8,5.88,6.07,5.92,6.41
1999-11-12,5.78,5.82,5.85,6.06,5.93,6.37
1999-11-19,5.92,5.97,6.0,6.21,6.07,6.48
1999-11-26,5.99,6.03,6.06,6.25,6.12,6.57
1999-12-03,5.99,6.03,6.08,6.27,6.17,6.6
1999-12-10,5.93,5.95,5.98,6.15,6.08,6.48
1999-12-17,6.15,6.17,6.22,6.42,6.3,6.74
1999-12-24,6.24,6.27,6.33,6.54,6.41,6.83
1999-12-31,6.24,6.29,6.36,6.55,6.45,6.83
2000-01-07,6.31,6.35,6.42,6.58,6.52,6.82
2000-01-14,6.44,6.49,6.59,6.71,6.69,6.91
2000-01-21,6.48,6.54,6.67,6.8,6.79,6.91
2000-01-28,6.58,6.62,6.68,6.72,6.66,6.65
2000-02-04,6.63,6.64,6.64,6.68,6.53,6.54
2000-02-11,6.65,6.73,6.77,6.81,6.63,6.62
2000-02-18,6.66,6.71,6.72,6.72,6.49,6.47
2000-02-25,6.45,6.48,6.5,6.61,6.36,6.47
2000-03-03,6.5,6.56,6.6,6.62,6.39,6.41
2000-03-10,6.55,6.58,6.61,6.63,6.39,6.52
2000-03-17,6.5,6.49,6.45,6.43,6.2,6.33
2000-03-24,6.64,6.59,6.51,6.49,6.2,6.36
2000-03-31,6.5,6.44,6.32,6.28,6.03,6.2
2000-04-07,6.38,6.33,6.18,6.13,5.86,6.04
2000-04-14,6.27,6.21,6.11,6.16,5.85,6.12
2000-04-21,6.38,6.33,6.24,6.25,5.99,6.16
2000-04-28,6.68,6.64,6.56,6.49,6.23,6.31
2000-05-05,6.84,6.81,6.77,6.75,6.51,6.61
2000-05-12,6.91,6.86,6.76,6.77,6.51,6.62
2000-05-19,6.86,6.8,6.71,6.76,6.51,6.64
2000-05-26,6.69,6.65,6.57,6.57,6.33,6.45
2000-06-02,6.52,6.48,6.37,6.39,6.15,6.31
2000-06-09,6.56,6.5,6.36,6.36,6.13,6.26
2000-06-16,6.38,6.32,6.19,6.21,5.99,6.21
2000-06-23,6.55,6.49,6.37,6.42,6.19,6.38
2000-06-30,6.38,6.31,6.18,6.25,6.03,6.26
2000-07-07,6.29,6.23,6.11,6.17,6.01,6.23
2000-07-14,6.41,6.35,6.25,6.29,6.1,6.24
2000-07-21,6.32,6.25,6.14,6.17,6.01,6.12
2000-07-28,6.3,6.24,6.16,6.19,6.04,6.12
2000-08-04,6.15,6.1,6.02,6.03,5.91,6.03
2000-08-11,6.25,6.19,6.07,6.06,5.79,6.04
2000-08-18,6.27,6.22,6.09,6.05,5.78,6.0
2000-08-25,6.19,6.12,6.0,5.98,5.73,5.96
2000-09-01,6.09,6.01,5.92,5.91,5.68,5.95
2000-09-08,6.11,6.03,5.95,5.97,5.73,5.99
2000-09-15,6.07,6.01,5.93,6.02,5.84,6.16
2000-09-22,6.09,6.04,5.93,5.99,5.85,6.18
2000-09-29,5.98,5.91,5.85,5.93,5.8,6.13
2000-10-06,5.98,5.92,5.88,5.92,5.82,6.11
2000-10-13,5.84,5.79,5.73,5.82,5.73,6.05
2000-10-20,5.84,5.76,5.69,5.73,5.64,5.95
2000-10-27,5.94,5.86,5.79,5.82,5.72,5.96
2000-11-03,5.94,5.9,5.86,5.91,5.83,6.09
2000-11-10,5.92,5.86,5.76,5.87,5.82,6.07
2000-11-17,5.88,5.78,5.67,5.76,5.71,5.97
2000-11-24,5.86,5.74,5.63,5.7,5.63,5.86
2000-12-01,5.62,5.55,5.46,5.56,5.52,5.82
2000-12-08,5.5,5.41,5.32,5.39,5.35,5.71
2000-12-15,5.38,5.26,5.15,5.24,5.2,5.59
2000-12-22,5.1,5.02,4.93,5.07,5.02,5.52
2000-12-29,5.11,5.06,4.99,5.16,5.12,5.59
2001-01-05,4.56,4.57,4.66,4.93,4.93,5.5
2001-01-12,4.9,4.91,4.97,5.24,5.25,5.74
2001-01-19,4.75,4.76,4.84,5.14,5.19,5.67
2001-01-26,4.78,4.81,4.93,5.23,5.29,5.75
2001-02-02,4.65,4.71,4.86,5.09,5.17,5.6
2001-02-09,4.67,4.7,4.85,5.05,5.03,5.55
2001-02-16,4.75,4.79,4.94,5.14,5.11,5.67
2001-02-23,4.53,4.63,4.86,5.11,5.1,5.66
2001-03-02,4.48,4.53,4.75,4.98,4.95,5.55
2001-03-09,4.47,4.53,4.75,4.96,4.95,5.5
2001-03-16,4.26,4.35,4.54,4.79,4.78,5.41
2001-03-23,4.24,4.33,4.52,4.78,4.8,5.43
2001-03-30,4.18,4.33,4.62,4.86,4.93,5.6
2001-04-06,4.07,4.22,4.52,4.8,4.89,5.57
2001-04-13,4.36,4.52,4.83,5.09,5.17,5.77
